"fuse.Filesystem3.chmod()","fuse.compat.Filesystem2.chmod()"
"fuse.Filesystem3.chown()","fuse.compat.Filesystem2.chown()"
"fuse.Filesystem3.flush()","fuse.compat.Filesystem2.flush()"
"fuse.Filesystem3.fsync()","fuse.compat.Filesystem2.fsync()"
"fuse.Filesystem3.getattr()","fuse.compat.Filesystem2.getattr()"
"fuse.Filesystem3.getdir()","fuse.compat.Filesystem2.getdir()"
"fuse.Filesystem3.link()","fuse.compat.Filesystem2.link()"
"fuse.Filesystem3.mkdir()","fuse.compat.Filesystem2.mkdir()"
"fuse.Filesystem3.mknod()","fuse.compat.Filesystem2.mknod()"
"fuse.Filesystem3.open()","fuse.compat.Filesystem2.open()"
"fuse.Filesystem3.read()","fuse.compat.Filesystem2.read()"
"fuse.Filesystem3.readlink()","fuse.compat.Filesystem2.readlink()"
"fuse.Filesystem3.release()","fuse.compat.Filesystem2.release()"
"fuse.Filesystem3.rename()","fuse.compat.Filesystem2.rename()"
"fuse.Filesystem3.rmdir()","fuse.compat.Filesystem2.rmdir()"
"fuse.Filesystem3.statfs()","fuse.compat.Filesystem2.statfs()"
"fuse.Filesystem3.symlink()","fuse.compat.Filesystem2.symlink()"
"fuse.Filesystem3.truncate()","fuse.compat.Filesystem2.truncate()"
"fuse.Filesystem3.unlink()","fuse.compat.Filesystem2.unlink()"
"fuse.Filesystem3.utime()","fuse.compat.Filesystem2.utime()"
"fuse.Filesystem3.write()","fuse.compat.Filesystem2.write()"
"fuse.Filesystem3ToFuseFSAdapter$XattrSizeLister.<init>()","fuse.Filesystem3ToFuseFSAdapter.access$000()"
"fuse.Filesystem3ToFuseFSAdapter$XattrSizeLister.<init>()","java.lang.Object.<init>()"
"fuse.Filesystem3ToFuseFSAdapter$XattrSizeLister.<init>()","java.nio.charset.Charset.newEncoder()"
"fuse.Filesystem3ToFuseFSAdapter$XattrSizeLister.add()","java.lang.String.length()"
"fuse.Filesystem3ToFuseFSAdapter$XattrSizeLister.add()","java.nio.charset.CharsetEncoder.averageBytesPerChar()"
"fuse.Filesystem3ToFuseFSAdapter$XattrValueLister.<init>()","fuse.Filesystem3ToFuseFSAdapter.access$000()"
"fuse.Filesystem3ToFuseFSAdapter$XattrValueLister.<init>()","java.lang.Object.<init>()"
"fuse.Filesystem3ToFuseFSAdapter$XattrValueLister.<init>()","java.nio.charset.Charset.newEncoder()"
"fuse.Filesystem3ToFuseFSAdapter$XattrValueLister.<init>()","java.nio.charset.CharsetEncoder.onMalformedInput()"
"fuse.Filesystem3ToFuseFSAdapter$XattrValueLister.<init>()","java.nio.charset.CharsetEncoder.onUnmappableCharacter()"
"fuse.Filesystem3ToFuseFSAdapter$XattrValueLister.add()","java.nio.ByteBuffer.put()"
"fuse.Filesystem3ToFuseFSAdapter$XattrValueLister.add()","java.nio.CharBuffer.wrap()"
"fuse.Filesystem3ToFuseFSAdapter$XattrValueLister.add()","java.nio.charset.CharsetEncoder.encode()"
"fuse.Filesystem3ToFuseFSAdapter$XattrValueLister.toString()","fuse.Filesystem3ToFuseFSAdapter.access$000()"
"fuse.Filesystem3ToFuseFSAdapter$XattrValueLister.toString()","java.lang.StringBuilder.<init>()"
"fuse.Filesystem3ToFuseFSAdapter$XattrValueLister.toString()","java.lang.StringBuilder.append()"
"fuse.Filesystem3ToFuseFSAdapter$XattrValueLister.toString()","java.lang.StringBuilder.toString()"
"fuse.Filesystem3ToFuseFSAdapter$XattrValueLister.toString()","java.nio.ByteBuffer.get()"
"fuse.Filesystem3ToFuseFSAdapter$XattrValueLister.toString()","java.nio.ByteBuffer.position()"
"fuse.Filesystem3ToFuseFSAdapter$XattrValueLister.toString()","java.nio.ByteBuffer.wrap()"
"fuse.Filesystem3ToFuseFSAdapter$XattrValueLister.toString()","java.nio.charset.Charset.decode()"
"fuse.Filesystem3ToFuseFSAdapter.<init>()","java.lang.Object.<init>()"
"fuse.Filesystem3ToFuseFSAdapter.<init>()","java.lang.System.getProperty()"
